Year State Male Female Total NofBirths N.OfDeaths NOM_A NOM_D NOM-Rate Natural-Rate
2015 NSW 3805197 3866402 7671599 96808 53075 168727 100291 0.90 0.58
2015 VIC 2964694 3033229 5997923 74097 40944 133990 73374 1.03 0.56
2015 QLD 2390891 2416995 4807886 61688 29496 81045 61739 0.41 0.68
2015 SA 843150 859536 1702686 19546 13497 22665 12550 0.60 0.36
2015 WA 1313474 1289899 2603373 35183 14582 53917 39688 0.55 0.80
2015 TAS 257543 259831 517374 5629 4603 3828 2751 0.21 0.20
2015 NT 128582 115293 243875 4028 1182 5938 5116 0.34 1.17
2015 ACT 195006 198098 393104 5456 1804 8535 6414 0.55 0.94
2014 NSW 3752884 3815295 7568179 97798 52377 162288 93520 0.92 0.61
2014 VIC 2911956 2979149 5891105 77582 38225 125794 68159 1.00 0.68
2014 QLD 2363191 2384871 4748062 63690 28737 81700 59269 0.48 0.75
2014 SA 837692 853797 1691489 20533 13381 22737 12327 0.62 0.43
2014 WA 1298965 1273891 2572856 35386 13736 56564 41326 0.60 0.85
2014 TAS 256604 258746 515350 5877 4457 3913 2653 0.25 0.28
2014 NT 128311 114628 242939 3964 1172 5846 5147 0.29 1.15
2014 ACT 192425 195441 387866 5631 1837 8536 6226 0.60 0.99
2013 NSW 3700139 3759423 7459562 97213 50111 162254 95425 0.91 0.64
2013 VIC 2859599 2925178 5784777 76231 36609 122915 65790 1.01 0.70
2013 QLD 2334169 2350911 4685080 63430 27982 91863 58014 0.73 0.77
2013 SA 830427 846244 1676671 19924 12842 23381 12045 0.68 0.43
2013 WA 1281937 1254431 2536368 34554 13478 70623 39637 1.25 0.85
2013 TAS 256043 257905 513948 6080 4417 3786 2516 0.25 0.32
2013 NT 128393 114447 242840 4025 1089 7047 4213 1.18 1.23
2013 ACT 190372 192938 383310 5558 1718 8175 6254 0.51 1.02
2012 NSW 3651443 3705407 7356850 101013 50867 150099 88189 0.85 0.69
2012 VIC 2809865 2870637 5680502 76299 36536 116119 60385 1.00 0.71
2012 QLD 2298358 2310528 4608886 64557 28120 95180 51560 0.97 0.81
2012 SA 823330 838867 1662197 20514 13145 22371 11456 0.66 0.45
2012 WA 1254425 1225081 2479506 34112 13292 88496 32205 2.35 0.87
2012 TAS 255448 257027 512475 6191 4485 3691 2429 0.25 0.33
2012 NT 126228 113066 239294 4048 1009 8308 3617 2.02 1.31
2012 ACT 187865 190062 377927 5476 1722 8825 5810 0.81 1.01
2011 NSW 3605612 3655980 7261592 98799 50177 146230 90243 0.78 0.68
2011 VIC 2761846 2820824 5582670 72907 36313 109518 59207 0.92 0.67
2011 QLD 2254270 2264335 4518605 62774 27819 90456 50144 0.91 0.79
2011 SA 815548 831403 1646951 20197 12696 20816 10772 0.62 0.46
2011 WA 1205454 1186138 2391592 32332 12739 72451 28562 1.89 0.84
2011 TAS 255044 256900 511944 6562 4262 3479 2396 0.21 0.45
2011 NT 122191 110512 232703 3932 1023 5367 3695 0.73 1.26
2011 ACT 184519 186589 371108 5254 1703 7929 5560 0.65 0.97
2015 AUS 11900650 12040412 23941062 302465 159191 478650 301926 0.75 0.61
2014 AUS 11744121 11876943 23621064 310494 153929 467390 288630 0.77 0.67
2013 AUS 11583154 11702585 23285739 307044 148253 490045 283895 0.90 0.69
2012 AUS 11409025 11511773 22920798 312244 149180 493089 255653 1.05 0.72
2011 AUS 11206535 11313763 22520298 302788 146738 456258 250579 0.93 0.70
