point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
base,407256.182,7400064.902,56,South,-23.506959524,152.091617438,0.99970625,-0.362344
test00002,407250.329,7400077.209,56,South,-23.506848036,152.091560878,0.99970626,-0.362365
test00003,407249.98,7400077.71,56,South,-23.506843491,152.091557491,0.99970626,-0.362366
test00004,407249.724,7400078.25,56,South,-23.506838599,152.091555017,0.99970626,-0.362367
test00005,407249.477,7400078.803,56,South,-23.506833591,152.091552633,0.99970626,-0.362368
test00006,407249.219,7400079.594,56,South,-23.506826432,152.091550155,0.99970627,-0.362369
test00007,407249.047,7400080.229,56,South,-23.506820687,152.091548510,0.99970627,-0.362369
test00008,407248.85,7400080.819,56,South,-23.506815347,152.091546617,0.99970627,-0.362370
test00009,407248.704,7400081.44,56,South,-23.506809730,152.091545226,0.99970627,-0.362370
test00010,407248.449,7400082.04,56,South,-23.506804296,152.091542765,0.99970627,-0.362371
test00011,407248.287,7400082.765,56,South,-23.506797739,152.091541224,0.99970627,-0.362372
test00012,407248.003,7400083.347,56,South,-23.506792466,152.091538478,0.99970627,-0.362373
test00013,407247.91,7400083.935,56,South,-23.506787150,152.091537604,0.99970627,-0.362373
test00014,407247.798,7400084.545,56,South,-23.506781635,152.091536545,0.99970627,-0.362374
test00015,407247.84,7400085.081,56,South,-23.506776796,152.091536989,0.99970627,-0.362373
test00016,407247.923,7400085.59,56,South,-23.506772204,152.091537834,0.99970627,-0.362373
test00017,407248.003,7400086.121,56,South,-23.506767412,152.091538650,0.99970627,-0.362372
test00018,407248.219,7400086.659,56,South,-23.506762566,152.091540799,0.99970627,-0.362372
test00019,407248.454,7400087.213,56,South,-23.506757575,152.091543135,0.99970627,-0.362371
test00020,407339.758,7400136.621,56,South,-23.506316549,152.092440384,0.99970606,-0.362006
test00021,407340.071,7400136.702,56,South,-23.506315835,152.092443454,0.99970606,-0.362005
test00022,407340.39,7400136.772,56,South,-23.506315221,152.092446583,0.99970606,-0.362004
test00023,407340.659,7400136.767,56,South,-23.506315282,152.092449217,0.99970606,-0.362003
test00024,407341.071,7400136.846,56,South,-23.506314592,152.092453257,0.99970605,-0.362001
test00025,407341.439,7400136.905,56,South,-23.506314080,152.092456864,0.99970605,-0.362000
test00026,407341.813,7400136.923,56,South,-23.506313939,152.092460528,0.99970605,-0.361998
test00027,407342.218,7400136.996,56,South,-23.506313302,152.092464499,0.99970605,-0.361997
test00028,407342.5,7400137.017,56,South,-23.506313129,152.092467262,0.99970605,-0.361995
test00029,407342.781,7400137.023,56,South,-23.506313091,152.092470015,0.99970605,-0.361994
test00030,407343.166,7400137.083,56,South,-23.506312571,152.092473789,0.99970605,-0.361993
test00031,407343.539,7400137.152,56,South,-23.506311969,152.092477446,0.99970605,-0.361991
test00032,407344.131,7400137.275,56,South,-23.506310892,152.092483251,0.99970605,-0.361989
test00033,407344.507,7400137.317,56,South,-23.506310534,152.092486936,0.99970605,-0.361988
test00034,407344.799,7400137.38,56,South,-23.506309981,152.092489800,0.99970605,-0.361986
test00035,407345.271,7400137.47,56,South,-23.506309196,152.092494428,0.99970605,-0.361985
test00036,407345.684,7400137.509,56,South,-23.506308867,152.092498475,0.99970604,-0.361983
test00037,407345.998,7400137.537,56,South,-23.506308632,152.092501552,0.99970604,-0.361982
test00038,407346.294,7400137.587,56,South,-23.506308197,152.092504454,0.99970604,-0.361981
test00039,407346.711,7400137.659,56,South,-23.506307571,152.092508543,0.99970604,-0.361979
test00040,407347.02,7400137.663,56,South,-23.506307552,152.092511569,0.99970604,-0.361978
test00041,407347.356,7400137.661,56,South,-23.506307589,152.092514859,0.99970604,-0.361976
test00042,407347.667,7400137.68,56,South,-23.506307436,152.092517906,0.99970604,-0.361975
test00043,407348.076,7400137.642,56,South,-23.506307802,152.092521910,0.99970604,-0.361974
test00044,407348.404,7400137.7,56,South,-23.506307297,152.092525126,0.99970604,-0.361972
test00045,407348.7,7400137.816,56,South,-23.506306266,152.092528032,0.99970604,-0.361971
test00046,407349.071,7400137.795,56,South,-23.506306477,152.092531664,0.99970604,-0.361970
test00047,407349.397,7400137.824,56,South,-23.506306234,152.092534858,0.99970604,-0.361968
test00048,407349.752,7400137.93,56,South,-23.506305297,152.092538341,0.99970603,-0.361967
test00049,407350.114,7400137.983,56,South,-23.506304839,152.092541890,0.99970603,-0.361966
test00050,407350.468,7400138.09,56,South,-23.506303892,152.092545363,0.99970603,-0.361964
test00051,407350.817,7400138.159,56,South,-23.506303289,152.092548786,0.99970603,-0.361963
test00052,407351.092,7400138.14,56,South,-23.506303476,152.092551478,0.99970603,-0.361962
test00053,407351.346,7400138.181,56,South,-23.506303121,152.092553968,0.99970603,-0.361961
test00054,407351.599,7400138.202,56,South,-23.506302945,152.092556447,0.99970603,-0.361960
test00055,407351.848,7400138.165,56,South,-23.506303294,152.092558883,0.99970603,-0.361959
test00056,407352.174,7400138.18,56,South,-23.506303177,152.092562077,0.99970603,-0.361957
test00057,407352.513,7400138.146,56,South,-23.506303503,152.092565395,0.99970603,-0.361956
test00058,407352.806,7400138.1,56,South,-23.506303935,152.092568261,0.99970603,-0.361955
test00059,407353.249,7400138.223,56,South,-23.506302850,152.092572608,0.99970603,-0.361953
test00060,407353.514,7400138.169,56,South,-23.506303353,152.092575199,0.99970603,-0.361952
test00061,407353.77,7400138.152,56,South,-23.506303521,152.092577706,0.99970603,-0.361951
test00062,407354.037,7400138.202,56,South,-23.506303084,152.092580324,0.99970603,-0.361950
test00063,407354.352,7400138.16,56,South,-23.506303482,152.092583406,0.99970602,-0.361949
test00064,407354.72,7400138.163,56,South,-23.506303476,152.092587010,0.99970602,-0.361948
test00065,407355.12,7400138.202,56,South,-23.506303146,152.092590930,0.99970602,-0.361946
test00066,407355.378,7400138.163,56,South,-23.506303513,152.092593454,0.99970602,-0.361945
test00067,407355.671,7400138.265,56,South,-23.506302609,152.092596330,0.99970602,-0.361944
test00068,407355.93,7400138.275,56,South,-23.506302533,152.092598867,0.99970602,-0.361943
test00069,407356.184,7400138.266,56,South,-23.506302629,152.092601354,0.99970602,-0.361942
test00070,407356.461,7400138.335,56,South,-23.506302022,152.092604071,0.99970602,-0.361941
test00071,407356.813,7400138.354,56,South,-23.506301870,152.092607520,0.99970602,-0.361939
test00072,407357.1,7400138.37,56,South,-23.506301742,152.092610332,0.99970602,-0.361938
test00073,407357.44,7400138.42,56,South,-23.506301310,152.092613664,0.99970602,-0.361937
test00074,407357.821,7400138.353,56,South,-23.506301937,152.092617392,0.99970602,-0.361935
test00075,407358.18,7400138.354,56,South,-23.506301948,152.092620908,0.99970602,-0.361934
test00076,407358.548,7400138.344,56,South,-23.506302059,152.092624511,0.99970601,-0.361933
test00077,407358.9,7400138.284,56,South,-23.506302621,152.092627955,0.99970601,-0.361931
test00078,407359.257,7400138.3,56,South,-23.506302497,152.092631452,0.99970601,-0.361930
test00079,407359.603,7400138.301,56,South,-23.506302508,152.092634840,0.99970601,-0.361928
test00080,407359.971,7400138.26,56,South,-23.506302899,152.092638442,0.99970601,-0.361927
test00081,407360.309,7400138.302,56,South,-23.506302539,152.092641755,0.99970601,-0.361926
test00082,407360.65,7400138.317,56,South,-23.506302423,152.092645095,0.99970601,-0.361924
test00083,407360.978,7400138.29,56,South,-23.506302686,152.092648306,0.99970601,-0.361923
test00084,407361.28,7400138.33,56,South,-23.506302342,152.092651266,0.99970601,-0.361922
test00085,407361.59,7400138.336,56,South,-23.506302305,152.092654302,0.99970601,-0.361921
test00086,407361.911,7400138.359,56,South,-23.506302116,152.092657448,0.99970601,-0.361919
test00087,407362.267,7400138.374,56,South,-23.506302001,152.092660935,0.99970601,-0.361918
test00088,407362.562,7400138.345,56,South,-23.506302279,152.092663822,0.99970601,-0.361917
test00089,407362.889,7400138.425,56,South,-23.506301575,152.092667030,0.999706,-0.361916
test00090,407363.267,7400138.42,56,South,-23.506301642,152.092670731,0.999706,-0.361914
test00091,407363.544,7400138.319,56,South,-23.506302570,152.092673438,0.999706,-0.361913
test00092,407363.758,7400138.09,56,South,-23.506304651,152.092675520,0.999706,-0.361912
test00093,407363.84,7400137.721,56,South,-23.506307988,152.092676300,0.999706,-0.361912
test00094,407363.92,7400137.37,56,South,-23.506311163,152.092677062,0.999706,-0.361912
test00095,407363.54,7400137.27,56,South,-23.506312044,152.092673334,0.999706,-0.361913
test00096,407363.261,7400137.1,56,South,-23.506313564,152.092670591,0.999706,-0.361914
test00097,407362.978,7400136.94,56,South,-23.506314993,152.092667809,0.999706,-0.361915
test00098,407362.638,7400136.999,56,South,-23.506314440,152.092664483,0.99970601,-0.361917
test00099,407362.226,7400136.981,56,South,-23.506314579,152.092660447,0.99970601,-0.361918
test00100,407361.8,7400136.953,56,South,-23.506314808,152.092656273,0.99970601,-0.361920
test00101,407361.326,7400136.92,56,South,-23.506315079,152.092651629,0.99970601,-0.361922
test00102,407361.028,7400136.786,56,South,-23.506316272,152.092648703,0.99970601,-0.361923
test00103,407360.682,7400136.615,56,South,-23.506317797,152.092645303,0.99970601,-0.361924
test00104,407360.301,7400136.453,56,South,-23.506319238,152.092641562,0.99970601,-0.361926
test00105,407359.916,7400136.334,56,South,-23.506320291,152.092637784,0.99970601,-0.361928
test00106,407359.54,7400136.196,56,South,-23.506321516,152.092634093,0.99970601,-0.361929
test00107,407359.074,7400136.135,56,South,-23.506322040,152.092629526,0.99970601,-0.361931
test00108,407358.648,7400136.066,56,South,-23.506322639,152.092625349,0.99970601,-0.361932
test00109,407358.303,7400135.93,56,South,-23.506323848,152.092621962,0.99970602,-0.361934
test00110,407357.883,7400135.904,56,South,-23.506324059,152.092617847,0.99970602,-0.361936
test00111,407357.504,7400135.854,56,South,-23.506324489,152.092614132,0.99970602,-0.361937
test00112,407357.24,7400135.717,56,South,-23.506325711,152.092611538,0.99970602,-0.361938
test00113,407356.908,7400135.639,56,South,-23.506326397,152.092608282,0.99970602,-0.361939
test00114,407356.527,7400135.547,56,South,-23.506327206,152.092604545,0.99970602,-0.361941
test00115,407356.221,7400135.382,56,South,-23.506328679,152.092601538,0.99970602,-0.361942
test00116,407355.919,7400135.272,56,South,-23.506329655,152.092598574,0.99970602,-0.361943
test00117,407355.589,7400135.205,56,South,-23.506330241,152.092595338,0.99970602,-0.361945
test00118,407355.33,7400135.051,56,South,-23.506331617,152.092592792,0.99970602,-0.361946
test00119,407354.96,7400134.911,56,South,-23.506332861,152.092589159,0.99970602,-0.361947
test00120,407354.642,7400134.931,56,South,-23.506332662,152.092586046,0.99970602,-0.361948
test00121,407354.312,7400134.902,56,South,-23.506332905,152.092582813,0.99970602,-0.361950
test00122,407354.067,7400134.809,56,South,-23.506333731,152.092580407,0.99970602,-0.361951
test00123,407353.761,7400134.715,56,South,-23.506334562,152.092577405,0.99970603,-0.361952
test00124,407353.322,7400134.573,56,South,-23.506335820,152.092573097,0.99970603,-0.361954
test00125,407352.91,7400134.44,56,South,-23.506336998,152.092569053,0.99970603,-0.361955
test00126,407352.581,7400134.383,56,South,-23.506337494,152.092565828,0.99970603,-0.361956
test00127,407352.168,7400134.211,56,South,-23.506339023,152.092561773,0.99970603,-0.361958
test00128,407351.749,7400134.092,56,South,-23.506340074,152.092557662,0.99970603,-0.361960
test00129,407351.403,7400133.99,56,South,-23.506340976,152.092554267,0.99970603,-0.361961
test00130,407351.1,7400133.869,56,South,-23.506342051,152.092551292,0.99970603,-0.361962
test00131,407350.8,7400133.743,56,South,-23.506343172,152.092548346,0.99970603,-0.361964
test00132,407350.45,7400133.667,56,South,-23.506343839,152.092544914,0.99970603,-0.361965
test00133,407350.137,7400133.572,56,South,-23.506344679,152.092541842,0.99970603,-0.361966
