point id,easting 1,northing 1,ellipsoidal height 1,zone 1,easting 2,northing 2,ellipsoidal height 2,zone 2
base,407255.517,7400063.494,3.979,56,407256.182,7400064.902,3.873,56
test00002,407249.664,7400075.801,1.672,56,407250.329,7400077.209,1.566,56
test00003,407249.315,7400076.302,1.717,56,407249.980,7400077.710,1.611,56
test00004,407249.059,7400076.84,1.689,56,407249.724,7400078.25,1.583,56
test00005,407248.812,7400077.395,1.714,56,407249.477,7400078.803,1.608,56
test00006,407248.554,7400078.186,1.79,56,407249.219,7400079.594,1.68,56
test00007,407248.382,7400078.821,1.781,56,407249.047,7400080.229,1.675,56
test00008,407248.185,7400079.411,1.798,56,407248.850,7400080.819,1.692,56
test00009,407248.039,7400080.032,1.789,56,407248.704,7400081.440,1.683,56
test00010,407247.784,7400080.632,1.784,56,407248.449,7400082.040,1.678,56
test00011,407247.622,7400081.357,1.786,56,407248.287,7400082.765,1.680,56
test00012,407247.338,7400081.939,1.755,56,407248.003,7400083.347,1.649,56
test00013,407247.24,7400082.527,1.727,56,407247.91,7400083.935,1.621,56
test00014,407247.133,7400083.137,1.694,56,407247.798,7400084.545,1.588,56
test00015,407247.175,7400083.673,1.662,56,407247.840,7400085.081,1.556,56
test00016,407247.258,7400084.182,1.661,56,407247.923,7400085.590,1.555,56
test00017,407247.338,7400084.713,1.715,56,407248.003,7400086.121,1.609,56
test00018,407247.554,7400085.251,1.703,56,407248.219,7400086.659,1.597,56
test00019,407247.789,7400085.805,1.686,56,407248.454,7400087.213,1.580,56
test00020,407339.093,7400135.213,1.41,56,407339.758,7400136.621,1.30,56
test00021,407339.406,7400135.294,1.474,56,407340.071,7400136.702,1.368,56
test00022,407339.72,7400135.364,1.488,56,407340.39,7400136.772,1.382,56
test00023,407339.994,7400135.359,1.439,56,407340.659,7400136.767,1.333,56
test00024,407340.406,7400135.438,1.426,56,407341.071,7400136.846,1.320,56
test00025,407340.774,7400135.497,1.481,56,407341.439,7400136.905,1.375,56
test00026,407341.148,7400135.515,1.447,56,407341.813,7400136.923,1.341,56
test00027,407341.553,7400135.588,1.403,56,407342.218,7400136.996,1.297,56
test00028,407341.835,7400135.609,1.431,56,407342.500,7400137.017,1.325,56
test00029,407342.116,7400135.615,1.464,56,407342.781,7400137.023,1.358,56
test00030,407342.501,7400135.675,1.487,56,407343.166,7400137.083,1.381,56
test00031,407342.874,7400135.744,1.485,56,407343.539,7400137.152,1.379,56
test00032,407343.466,7400135.867,1.506,56,407344.131,7400137.275,1.400,56
test00033,407343.842,7400135.909,1.571,56,407344.507,7400137.317,1.465,56
test00034,407344.134,7400135.972,1.657,56,407344.799,7400137.380,1.551,56
test00035,407344.606,7400136.06,1.766,56,407345.271,7400137.47,1.660,56
test00036,407345.019,7400136.101,1.851,56,407345.684,7400137.509,1.745,56
test00037,407345.333,7400136.129,1.816,56,407345.998,7400137.537,1.710,56
test00038,407345.629,7400136.179,1.864,56,407346.294,7400137.587,1.758,56
test00039,407346.046,7400136.251,1.912,56,407346.711,7400137.659,1.806,56
test00040,407346.35,7400136.255,1.85,56,407347.02,7400137.663,1.74,56
test00041,407346.691,7400136.253,1.814,56,407347.356,7400137.661,1.708,56
test00042,407347.002,7400136.272,1.795,56,407347.667,7400137.680,1.689,56
test00043,407347.411,7400136.234,1.757,56,407348.076,7400137.642,1.651,56
test00044,407347.739,7400136.292,1.848,56,407348.404,7400137.700,1.742,56
test00045,407348.03,7400136.408,1.813,56,407348.70,7400137.816,1.707,56
test00046,407348.406,7400136.387,1.828,56,407349.071,7400137.795,1.722,56
test00047,407348.732,7400136.416,1.806,56,407349.397,7400137.824,1.700,56
test00048,407349.087,7400136.522,1.819,56,407349.752,7400137.930,1.713,56
test00049,407349.449,7400136.575,1.772,56,407350.114,7400137.983,1.666,56
test00050,407349.803,7400136.682,1.739,56,407350.468,7400138.090,1.633,56
test00051,407350.152,7400136.751,1.75,56,407350.817,7400138.159,1.64,56
test00052,407350.427,7400136.732,1.709,56,407351.092,7400138.140,1.603,56
