Map class,Class composition,%cover,P gCaCO3m-2yr-1,Overall class area/m2,Component area/m2,,P rate,Area check,,classes,
Deep outer reef patches on sand,Live coral,10,3000,420584,42058.4,, ,,,3938769.16,
,Consolidated reef carbonate platform,75,3000,420584,315438,,12617.52,,,,
,Calcified algae,5,3000,420584,21029.2,,12617.52,,,,
,Rubble,10,365,420584,42058.4,,1535.1316,420584,26770.1716,,
Forereef coral spur with coralline algae,Live coral ,60,3000,1209428,725656.8,,36282.84,,,6166873.372,
,calcified Algae,5,1494,1209428,60471.4,,18068.85432,,,,
,Rubble,10,365,1209428,120942.8,,4414.4122,,,,
,Sand ,5,240,1209428,60471.4,,2902.6272,,,,
,Dead coral,20,0,1209428,241885.6,0,0,1209428,61668.73372,,
Algal pavement,Live coral,10,3000,956196,95619.6,2868588,28685.88,,,4297144.824,
,Calcified algae,10,1494,956196,95619.6,1428556.824,14285.56824,,,,
,Dead coral framework,80,0,956196,764956.8,0,0,956196,42971.44824,,
Reef flat bommies on sand,Live coral,30,1005,2442196,732658.8,2454406.98,24544.0698,,,7580576.384,
,Calcified algae on coral framework,10,1494,2442196,244219.6,3648640.824,36486.40824,,,,
,Algae,5,0,2442196,122109.8,0,0,,,,
,Rubble,5,365,2442196,122109.8,891401.54,8914.0154,,,,
,Sand,40,240,2442196,976878.4,586127.04,5861.2704,,,,
,Dead coral framework,10,0,2442196,244219.6,0,0,2442196,75805.76384,,
Algal assemblage on sand,Live coral,2,3000,967088,19341.76,2901264,29012.64,,,967088,
,macroalgae,20,1800,967088,193417.6,1740758.4,17407.584,,,,
,sand,65,240,967088,628607.2,232101.12,2321.0112,,,,
,Dead coral framework,1,0,967088,9670.88,0,0,,,,
,algal mat,10,0,967088,96708.8,0,0,,,,
,Rubble,2,365,967088,19341.76,352987.12,3529.8712,967088,52271.1064,,
Reef flat sand,Sand,94,240,1607108,1510681.52,385705.92,3857.0592,#REF!,,972300.34,
,Algae,5,0,1607108,80355.4,0,0,,,,
,Rubble,1,365,1607108,16071.08,586594.42,5865.9442,1607108,9723.0034,,
Reef flat consolidated rubble,Consolidated rubble,100,365,527124,527124,192400.26,1924.0026,527124,1924.0026,192400.26,
Live coral (outside lagoon),Live coral,35,3000,1115176,390311.6,3345528,33455.28,,,4694890.96,
,,35,0,557588,195155.8,0,0,,,,557588
,Dead coral framework,15,0,2230352,334552.8,0,0,,,,
,Sand,12,240,2230352,267642.24,535284.48,5352.8448,,,,
,Rubble,3,365,2230352,66910.56,814078.48,8140.7848,1254573,46948.9096,,
Lagoon sand with coral patches,Live coral,20,3250,1605460,321092,5217745,52177.45,,,6189048.3,
,Algae,5,0,1605460,80273,0,0,,,,
,Sand,65,240,1605460,1043549,385310.4,3853.104,,,,
,Rubble,5,365,1605460,80273,585992.9,5859.929,,,,
,Dead coral framework,5,0,1605460,80273,0,0,1605460,61890.483,,
"Upper forereef slope coral, rubble and sand",Live coral,65,3000,1609656,1046276.4,,48289.68,,,5802809.88,
,Sand,5,240,1609656,80482.8,,3863.1744,,,,
,Rubble,15,365,1609656,241448.4,,5875.2444,1609656,58028.0988,,
,Dead coral framework,15,0,1609656,241448.4,0,0,,,,
Lagoon sand/ shallow lagoon sand,Sand,90,240,1226524,1103871.6,294365.76,2943.6576,,,742047.02,
,Algae,4,0,1226524,49060.96,0,0,,,,
,Rubble,6,365,1226524,73591.44,447681.26,4476.8126,1226524,7420.4702,,
Live coral (inside lagoon),Live coral,70,3000,1827690,1279383,5483070,54830.7,,,5483070,
,Soft coral,10,,1827690,182769,0,0,,,,
,Dead coral framework,20,0,1827690,365538,0,0,1827690,54830.7,,
,,,,,15653627,0,500252.8914,#REF!,500252.8914,,
,,,,,15.653627,0,551.43442051285,,551.434420512849,,
,,,,,,35378588.728,0.031957634572486,,,31118566.088,
,,,,,,38998.2185194164,,,,,
,Taken from Chave et al and Kinsey ,,,,,,,,,,
,,,,,,,,146467.00412,,,
,,,,,,,,161.452235318685,,,
,,,,,,,48247101.9772,,,,
,,,,,,,146467.00412,,,,
,,,,,,,48100634.97308,,,,
,,,,,,,53021.8739934713,,,,
,,,,,,,#REF!,,,,
