,,,,"1=Present, 0=Absent",,,,,,,,,,
Waypoint,GPS (S),GPS (E),% Cover Algae,Presence/Absence Forams,Filimentous/Film Algae,Turf Macroalgae,Fleshy Algae,Calcareous Algae,Live Coral ,Bare Limestone,Coral Rubble,Sediment,Total ,Comment
1,23.48573,152.08661,90,1,90,,,,,10,,,100,zone 5-1
2,23.48584,152.08713,85,1,85,,,,,5,,10,100,zone 5-2
3,23.48618,152.08752,85,1,5,80,,,,10,,5,100,zone 5-3
4,23.48671,152.08812,65,1,60,5,,,,,30,5,100,zone 5-4
5,23.48781,152.08887,40,0,40,,,,,10,50,,100,zone 5-5
6,23.48907,152.08974,60,1,50,10,,,,,10,30,100,zone 5-6
7,23.48997,152.09044,35,1,30,5,,,,,10,55,100,zone 5-7
8,23.49035,152.09094,60,1,50,10,,,,,30,10,100,zone 5-8
9,23.49078,152.09123,60,1,20,40,,,,,5,35,100,zone 5-9
10,23.49148,152.0918,30,1,20,10,,,,10,50,10,100,zone 5-10
11,23.49168,152.09189,75,1,10,65,,,,,20,5,100,zone 4-1
12,23.49209,152.09221,10,1,5,5,,,,,90,,100,zone 4-2
13,23.4926,152.09238,45,1,5,40,,,,,,55,100,zone 4-3
14,23.49325,152.09265,85,1,5,80,,,,,15,,100,zone 4-4
15,23.49388,152.09297,80,1,0,80,,,,,5,15,100,zone 4-5
16,23.49445,152.0934,85,1,5,80,,,,,5,10,100,zone 4-6
17,23.4953,152.09369,65,1,5,60,,,,,35,,100,zone 4-7
18,23.49611,152.0939,80,1,,60,20,,,,,20,100,zone 4-8
19,23.4969,152.09389,90,1,80,10,,,,,10,,100,zone 4-9
20,23.49861,152.09442,95,1,95,,,,,,5,,100,zone 4-10
24,23.48285,152.08202,80,1,,80,,,,,15,5,100,
25,23.48272,152.08224,95,1,,95,,,,,,5,100,
26,23.48286,152.08237,0,0,,,,,,,95,5,100,
27,23.48306,152.08252,95,1,,95,,,,,,5,100,
28,23.48347,152.08246,80,1,,80,,,,,,20,100,
29,23.48356,152.08282,75,1,,75,,,,,15,10,100,
30,23.48339,152.08308,80,1,30,50,,,,,,20,100,
31,23.48334,152.08324,10,0,10,,,,,,90,,100,
32,23.48355,152.08369,70,1,35,35,,,,,30,,100,
33,23.4837,152.08372,95,1,,90,5,,,,,5,100,
34,23.48408,152.08366,100,1,100,,,,,,,,100,
35,23.48417,152.08409,95,1,40,40,15,,,,5,,100,
36,23.48411,152.08437,90,1,40,40,10,,,,10,,100,
37,23.48395,152.08473,90,1,40,40,10,,,,10,,100,
38,23.48419,152.0849,100,1,90,,10,,,,,,100,
39,23.48442,152.08502,100,1,100,,,,,,,,100,
40,23.48451,152.08539,100,1,70,,30,,,,,,100,
41,23.48478,152.08571,100,0,100,,,,,,,,100,
42,23.48504,152.08604,100,1,90,10,,,,,,,100,
43,23.48517,152.0862,90,1,90,,,,,,10,,100,
44,23.48538,152.08652,100,1,50,50,,,,,,,100,
45,23.48534,152.08662,50,1,,50,,,,,50,,100,
46,23.48552,152.08678,100,1,80,20,,,,,,,100,
47,23.48571,152.08681,80,1,80,,,,,20,,,100,
48,23.48589,152.08694,80,1,80,,,,,,20,,100,
49,23.48595,152.08723,60,1,60,,,,,,30,10,100,
50,23.48604,152.08731,90,1,80,10,,,,,,10,100,
51,23.4861,152.08757,100,1,80,20,,,,,,,100,
